Flags,X.d.Y_10...2,d..S.Y._10,d.Y_max,d.Slo_.5.2.,d.Slo_.max.10.,d.Cur.DL.,d.Cur.VDM.,d.VolSkew,d.Leading,d.Lagging,Coincident,Lagging,d.AC,d.CR,d.DA,d.DE,d.IC,d.RVol
1,1.476225,-0.505,-0.465,-0.105584416,0.75,0.740454545,-0.364285714,-0.576002978,0.080928368,0.297695388,5.205636196,-0.823049914,0,0.54,-0.03,-0.09,1,-3.295096447
1,2.387025,-0.67,-0.77,-0.302857143,0.775,0.805,-0.289285714,-0.963465784,0.176880277,-0.001665986,4.647087438,-0.408998525,0,0.54,-0.03,-0.09,1,-3.079837789
1,2.0736,-0.79,-0.47,-0.11974026,0.97,0.055909091,-0.901428571,0.341802422,1.137443824,-1.628628333,4.940573821,-1.324522675,0,0.54,-0.03,-0.09,1,-2.633797777
1,1.334025,-0.5,0.945,0.499480519,-0.21,-0.256818182,-0.087142857,-1.012630862,2.824230299,-0.819164666,1.97614335,0.603623563,-0.03,-0.31,0.03,0.13,-14.74,1.423395304
1,2.0736,-0.29,1.14,0.515844156,-0.3,-0.159545455,0.042857143,-1.062104759,2.366048666,-1.210912879,2.370023347,0,-0.03,-0.31,0.03,0.13,-14.74,3.233316537
1,1.0816,-0.28,0.65,0.380490109,-0.39,0.293636364,0.295846633,1.877935269,5.015282774,2.213370035,2.051353983,2.213370035,-0.03,-0.31,0.03,0.13,-14.74,1.245301065
1,0.7921,-0.005,0.48,0.603165363,-0.41,-0.427272727,0.3816232,0.010604513,3.521005752,4.024986036,2.658643299,3.413986172,-0.03,-0.31,0.03,0.13,-14.74,1.633967764
1,1.755625,-0.108,0.835,0.439363035,-0.49,-0.159545455,0.227672246,-0.257482433,1.913527391,5.662704,2.756682983,4.839654086,-0.03,-0.31,0.03,0.13,-14.74,2.89673502
1,5.040025,0.259,1.19,-0.543476238,-1.055,1.216818182,0.436946283,0.284446686,-0.570613796,7.082168349,3.562717764,5.237853777,-0.03,-0.31,0.03,0.13,-14.74,2.760980719
1,4.305625,0.376,0.915,-0.267270604,-1.16,0.847727273,0.715274426,0.128146936,-1.613862067,6.032452652,2.930982925,4.707929977,-0.03,-0.31,0.03,0.13,-14.74,3.420552222
1,3.258025,0.478,0.775,-0.000966202,-1.03,0.357575758,0.662479564,-0.036677158,-1.334984259,4.450486124,3.355678353,3.328597763,0.01,-0.11,0.04,0.12,3.45,4.669951513
1,5.3361,0.505,1.525,0.192092195,-0.785,0.007272727,0.336249513,0.732778118,-2.564947951,4.053305195,3.673882565,2.629069523,0.01,-0.11,0.04,0.12,3.45,3.745259564
1,1.0609,0.325,0.725,0.011030822,-0.305,0.384415584,0.306448034,0.722692616,-0.587555214,3.222276321,3.692727259,2.211145361,0.01,-0.11,0.04,0.12,3.45,1.057482402
1,0.3844,0.257,-0.48,0.005,0.14,-0.56,-0.23,-0.764956337,9.921170377,0.966214589,1.482973297,-1.525194792,0,0.23,0.08,0.44,-8.69,-5.721685059
1,0.0784,0.22,-0.155,-0.103333333,0.125,0.135,-0.235,-1.784107886,8.751549863,1.273949641,0.788958728,-1.432982555,0.03,-0.45,-0.08,-0.4,13.76,-14.84033884
1,0.616225,0.335,-0.315,-0.270714286,0.47,0.095,-0.528571429,-2.066267007,11.85619063,3.63665879,0.197238723,0.102722146,0.03,-0.45,-0.08,-0.4,13.76,-30.71842425
1,0.0016,0.26,0.26,-0.194761905,0.3,1.07,-0.377142857,0.387984921,9.595740135,4.360055317,0.589972213,1.124181487,0.03,-0.45,-0.08,-0.4,13.76,-35.92320363
1,9.00E-04,0.245,0.515,0.135238095,0.545,0.325,-0.682142857,0.387984921,9.228455472,2.602051441,0.393314175,-0.92832023,0.03,-0.45,-0.08,-0.4,13.76,-39.52027146
1,0.2601,0.1517,0.115,-0.006666667,0.625,-0.5225,-1.025,-2.025213935,6.841713396,5.490879578,-0.09789526,0.621763661,0.03,-0.45,-0.08,-0.4,13.76,-39.06338199
1,0.009025,0.175,0.37,0.231666667,0.465,-0.2,-0.79,-1.475300174,4.61084913,5.101447042,0.09789526,0.828162083,0.03,-0.45,-0.08,-0.4,13.76,-37.83007744
1,0.1521,0.175,0.715,0.366666667,0.325,-0.565,-0.69,-2.169874606,6.999162792,4.303506194,0.293398743,0.208768343,0.03,-0.45,-0.08,-0.4,13.76,-36.73948703
1,0.0784,0.3017,0.555,-0.047619048,0.275,0.365,-0.556428571,-2.952225324,4.351888006,4.184666057,1.071612788,-0.419727794,0.03,-0.45,-0.08,-0.4,13.76,-37.29166991
1,0.1024,0.1,0.1,0.039285714,0.42,-0.3,-0.718571429,-2.733480735,3.768940158,2.330104607,0.780491767,-0.621763661,0.03,-0.45,-0.08,-0.4,13.76,-36.73976983
1,0.126025,-0.1283,-0.015,0.161666667,0.34,-0.52,-0.595,-2.026014284,1.35178689,0.895210906,1.461302185,-1.35207468,0.03,-0.45,-0.08,-0.4,13.76,-34.45036956
1,0.81,-0.3433,-0.87,0.01047619,0.03,-0.975,-0.034285714,-1.099048003,-2.862394565,-0.755744733,1.559485796,-2.188727289,0.01,0.08,-0.03,-0.16,2.08,-23.0700111
1,0.2601,-0.24,-0.615,0.022380952,-0.105,-0.01,0.183571429,-1.029525644,-3.577856261,-2.62196823,1.174181788,-3.135052988,0.01,0.08,-0.03,-0.16,2.08,-18.44380306
1,0.030625,0.515,0.395,0.281684778,0.57,-0.159148629,-0.744311629,0.61087509,37.72048233,-17.80625347,2.498642778,-16.68988293,-0.04,1.99,0.04,0.36,0.1,-26.46351745
1,0.4489,0.42275,-0.045,-0.010550402,0.625,0.224343434,-0.515702948,0.572220396,37.66543497,-15.1196215,2.981735505,-16.15500607,-0.04,1.99,0.04,0.36,0.1,-24.56238458
1,0.6084,0.345,-0.31,-0.187536001,0.47,0.223578644,-0.298597344,1.321617697,34.18767418,-12.26459916,4.048171792,-15.03533918,-0.04,1.99,0.04,0.36,0.1,-24.44305328
1,0.680625,0.535,-0.45,0.105061401,0.375,0.497669553,-0.177883058,0.89914831,30.95305332,-5.895251659,5.342516667,-12.64332148,-0.04,1.99,0.04,0.36,0.1,-22.21040316
1,1.288225,0.435,-0.63,-0.058186236,0.505,0.381291486,-0.305032394,2.889610311,30.69169377,1.179741992,5.810763081,-9.105996552,-0.04,1.99,0.04,0.36,0.1,-19.42006847
1,0.6241,0.15,-0.485,0.306679035,0.305,0.504090909,-0.176020408,2.722639524,24.18976755,6.962679823,6.307861078,-6.662600648,-0.04,1.99,0.04,0.36,0.1,-18.26141207
1,0.8281,0.105,-0.5,0.333752098,0.41,0.634617605,-0.22915128,2.034770128,18.41186309,12.2081934,6.400288199,-5.053080865,0.24,-4.48,0.03,0.34,0.02,-15.75877528
1,0.1681,-0.17,-0.395,0.43464617,0.015,0.950887446,0.279071914,2.536816069,9.346241446,16.95041224,6.590619858,-3.197075488,0.24,-4.48,0.03,0.34,0.02,-14.22500866
1,0.0324,-0.01,0.23,0.468689814,0.05,0.005266955,-0.212941367,0.756958884,-4.6798782,16.84098332,6.386383316,-3.226086222,0.24,-4.48,0.03,0.34,0.02,-7.222618604
1,0.004225,-0.055,0.055,0.444491563,0.12,0.12002886,-0.220395206,2.147853428,-14.2820144,16.97737796,6.104370403,-2.751064988,0.24,-4.48,0.03,0.34,0.02,-5.070876269
1,0.164025,-0.205,-0.15,0.391175015,0.255,0.524191919,-0.14638322,-0.563243486,-13.93617907,14.07060816,6.424226873,-2.542078929,0.24,-4.48,0.03,0.34,0.02,-7.08129786
1,0.1444,-0.37,-0.07,0.394509232,0.31,0.55031746,-0.19026563,-0.891629435,-18.29789613,15.3693965,6.262717747,-1.32048643,0.24,-4.48,0.03,0.34,0.02,-6.548481367
1,0.00148225,-0.18425,0.505,0.421440852,0.4665,-0.162966089,-0.691933754,-0.632740729,-21.30014019,15.74642532,6.92278615,-0.408580752,0.24,-4.48,0.03,0.34,0.02,-5.791165815
1,0.093025,-0.085,0.975,0.129132432,0.67,-1.092503608,-1.229695497,-0.960741329,-15.7146191,13.76865305,5.291048314,1.125331569,0.24,-4.48,0.03,0.34,0.02,-1.893856376
1,0.1444,-0.12,0.42,-0.427402597,0.8,-0.775909091,-1.014285714,0.314123075,-17.17673844,5.541855346,5.606849548,-1.120745302,0.24,-4.48,0.03,0.34,0.02,2.52753453
1,0.042025,-0.015,0.555,-0.21025974,0.76,-0.770909091,-1.048571429,-0.910658295,-15.30644627,4.645748326,6.015176066,-0.407332539,0.15,-0.15,0.03,0.64,0.01,2.323189464
1,0.7921,0.32,-0.045,-0.532987013,0.845,-0.460454545,-0.873571429,-0.775085734,-12.07079257,3.197075488,5.106547801,0,0.15,-0.15,0.03,0.64,0.01,2.50805568
1,0.6561,-0.035,-0.24,-0.507272727,0.57,0.044545455,-0.37,0.909151773,-8.636024513,2.214671566,4.631478218,0.304105658,0.15,-0.15,0.03,0.64,0.01,2.181795411
1,0.648025,0.055,-0.2,-0.532857143,0.605,0.08,-0.379285714,0.034753262,-9.639118268,4.245463041,4.830796533,1.019376819,0.15,-0.15,0.03,0.64,0.01,2.415014288
1,0.5329,-0.1,-0.065,-0.514285714,0.665,-0.07,-0.516428571,0.396399626,-5.675276597,4.998350573,4.265271995,2.247285585,0.15,-0.15,0.03,0.64,0.01,2.100454011
1,0.286225,0.005,0.18,-0.266103896,0.715,-0.181363636,-0.706428571,2.027127566,-5.695353079,4.883152766,4.242071588,2.341073837,0.15,-0.15,0.03,0.64,0.01,2.36337376
1,1.3689,-0.17,-0.395,-0.474285714,0.775,-0.04,-0.626428571,0.479431637,-4.269303641,2.540013739,4.214562145,1.219527309,0.15,-0.15,0.03,0.64,0.01,1.086911826
1,2.42892225,-0.1535,-0.92,-0.605285714,0.6385,-0.0065,-0.427928571,0.739448848,-2.446115969,1.831368981,4.292504472,1.422788229,0.15,-0.15,0.03,0.64,0.01,0.968161461
1,1.476225,-0.505,-0.465,-0.105584416,0.75,0.740454545,-0.364285714,-0.576002978,0.080928368,0.297695388,5.205636196,-0.823049914,0.15,-0.15,0.03,0.64,0.01,-3.484783262
1,2.0736,-0.79,-0.47,-0.11974026,0.97,0.055909091,-0.901428571,0.341802422,1.137443824,-1.628628333,4.940573821,-1.324522675,-0.32,0.32,0.02,0.63,-0.22,-2.546299397
1,1.9044,-0.843,-0.655,-0.095252525,0.725,0.141060606,-0.625,-0.286735999,2.073228414,-2.141265179,3.579329461,-1.12188836,-0.32,0.32,0.02,0.63,-0.22,-2.130407102
1,0.3481,-0.57,-0.44,-0.048571429,0.15,-0.097142857,-0.178571429,-1.797623069,0.539932764,-3.352204797,1.898791224,-1.01113096,-0.32,0.32,0.02,0.63,-0.22,13.54823167
1,1.334025,-0.5,0.945,0.499480519,-0.21,-0.256818182,-0.087142857,-1.012630862,2.824230299,-0.819164666,1.97614335,0.603623563,-0.32,0.32,0.02,0.63,-0.22,16.24791033
1,1.0816,-0.28,0.65,0.380490109,-0.39,0.293636364,0.295846633,1.877935269,5.015282774,2.213370035,2.051353983,2.213370035,-0.32,0.32,0.02,0.63,-0.22,17.69575257
1,0.009025,0.096,0.375,0.648178284,0.47,0.018578644,-0.690025915,-1.408757592,27.94856914,-29.59808753,-4.225980929,-20.06706955,-0.11,0.11,-0.01,-0.1,-0.82,-18.11491184
1,4.00E-04,0.37,0.48,0.349606856,0.5,-0.296421356,-0.762883058,-2.254731524,35.28085645,-25.94056327,-0.827917207,-19.72844295,-0.11,0.11,-0.01,-0.1,-0.82,-23.36773571
1,0.018225,0.205,0.445,0.005635657,0.58,-0.417950938,-0.77867185,0.655429116,35.06551015,-17.89640176,1.072076975,-16.61268709,-0.11,0.11,-0.01,-0.1,-0.82,-24.82971156
1,0.030625,0.515,0.395,0.281684778,0.57,-0.159148629,-0.744311629,0.61087509,37.72048233,-17.80625347,2.498642778,-16.68988293,-0.11,0.11,-0.01,-0.1,-0.82,-26.31100299
1,1.288225,0.435,-0.63,-0.058186236,0.505,0.381291486,-0.305032394,2.889610311,30.69169377,1.179741992,5.810763081,-9.105996552,-0.11,0.11,-0.01,-0.1,-0.82,-26.04893534
1,0.6241,0.15,-0.485,0.306679035,0.305,0.504090909,-0.176020408,2.722639524,24.18976755,6.962679823,6.307861078,-6.662600648,-0.11,0.11,-0.01,-0.1,-0.82,-20.60448168
1,0.0081,0.085,0.06,0.465178019,0.15,0.259574315,-0.192027859,2.442790612,0.182495965,20.40378922,6.891225558,-1.910565908,-0.06,0.01,-0.03,-0.13,-0.23,-11.7561235
1,0.0324,-0.01,0.23,0.468689814,0.05,0.005266955,-0.212941367,0.756958884,-4.6798782,16.84098332,6.386383316,-3.226086222,-0.06,0.01,-0.03,-0.13,-0.23,-9.183632231
1,0.004225,-0.055,0.055,0.444491563,0.12,0.12002886,-0.220395206,2.147853428,-14.2820144,16.97737796,6.104370403,-2.751064988,-0.06,0.01,-0.03,-0.13,-0.23,-5.666467843
1,0.164025,-0.205,-0.15,0.391175015,0.255,0.524191919,-0.14638322,-0.563243486,-13.93617907,14.07060816,6.424226873,-2.542078929,-0.06,0.01,-0.03,-0.13,-0.23,-5.462689487
1,0.1444,-0.37,-0.07,0.394509232,0.31,0.55031746,-0.19026563,-0.891629435,-18.29789613,15.3693965,6.262717747,-1.32048643,-0.06,0.01,-0.03,-0.13,-0.23,-4.184051615
1,0.1444,-0.12,0.42,-0.427402597,0.8,-0.775909091,-1.014285714,0.314123075,-17.17673844,5.541855346,5.606849548,-1.120745302,-0.06,0.01,-0.03,-0.13,-0.23,-3.864694638
1,0.042025,-0.015,0.555,-0.21025974,0.76,-0.770909091,-1.048571429,-0.910658295,-15.30644627,4.645748326,6.015176066,-0.407332539,0.02,0.13,0.02,0.09,1.39,-3.826966076
1,0.7921,0.32,-0.045,-0.532987013,0.845,-0.460454545,-0.873571429,-0.775085734,-12.07079257,3.197075488,5.106547801,0,0.02,0.13,0.02,0.09,1.39,-3.001936032
1,0.6561,-0.035,-0.24,-0.507272727,0.57,0.044545455,-0.37,0.909151773,-8.636024513,2.214671566,4.631478218,0.304105658,0.02,0.13,0.02,0.09,1.39,-3.588727812
1,0.5329,-0.1,-0.065,-0.514285714,0.665,-0.07,-0.516428571,0.396399626,-5.675276597,4.998350573,4.265271995,2.247285585,0.02,0.13,0.02,0.09,1.39,-3.748746837
1,1.3689,-0.17,-0.395,-0.474285714,0.775,-0.04,-0.626428571,0.479431637,-4.269303641,2.540013739,4.214562145,1.219527309,0.02,0.13,0.02,0.09,1.39,-2.051950011
1,2.42892225,-0.1535,-0.92,-0.605285714,0.6385,-0.0065,-0.427928571,0.739448848,-2.446115969,1.831368981,4.292504472,1.422788229,0.02,0.13,0.02,0.09,1.39,-1.031971691
1,1.1881,-0.535,-0.275,-0.411428571,0.815,0.505,-0.432142857,0.17935678,-1.336642596,0.702005928,5.244647537,1.210912879,0.02,0.13,0.02,0.09,1.39,-1.164275951
1,2.9584,-0.54,-0.72,-0.545714286,1,0.55,-0.548571429,-0.489288486,-6.209371016,-1.125331569,5.648811126,0,0.02,0.13,0.02,0.09,1.39,-0.941703907
1,0.3481,-0.57,-0.44,-0.048571429,0.15,-0.097142857,-0.178571429,-1.797623069,0.539932764,-3.352204797,1.898791224,-1.01113096,0.06,-0.03,0.04,0.27,0.7,0.93841269
1,0.119025,-0.485,0.095,0.155584416,-0.25,-0.211168831,0.095714286,-0.601394104,0.717528436,-1.118568189,1.990636712,0.10095912,0.06,-0.03,0.04,0.27,0.7,2.693370964
1,1.334025,-0.5,0.945,0.499480519,-0.21,-0.256818182,-0.087142857,-1.012630862,2.824230299,-0.819164666,1.97614335,0.603623563,0.06,-0.03,0.04,0.27,0.7,2.015669655
1,2.0736,-0.29,1.14,0.515844156,-0.3,-0.159545455,0.042857143,-1.062104759,2.366048666,-1.210912879,2.370023347,0,0.06,-0.03,0.04,0.27,0.7,2.681191345
1,1.0816,-0.28,0.65,0.380490109,-0.39,0.293636364,0.295846633,1.877935269,5.015282774,2.213370035,2.051353983,2.213370035,0.06,-0.03,0.04,0.27,0.7,2.279276045
1,2.325625,-8.88E-16,1.07,0.48040695,-0.455,-0.246818182,0.222598287,1.290457048,1.528827838,5.01441696,2.144033124,4.605418435,-0.03,-0.01,-0.07,-0.26,-0.31,1.555783228
1,5.040025,0.259,1.19,-0.543476238,-1.055,1.216818182,0.436946283,0.284446686,-0.570613796,7.082168349,3.562717764,5.237853777,-0.03,-0.01,-0.07,-0.26,-0.31,2.166731019
1,4.305625,0.376,0.915,-0.267270604,-1.16,0.847727273,0.715274426,0.128146936,-1.613862067,6.032452652,2.930982925,4.707929977,-0.03,-0.01,-0.07,-0.26,-0.31,1.766273046
1,3.258025,0.478,0.775,-0.000966202,-1.03,0.357575758,0.662479564,-0.036677158,-1.334984259,4.450486124,3.355678353,3.328597763,-0.03,-0.01,-0.07,-0.26,-0.31,1.40099997
1,5.3361,0.505,1.525,0.192092195,-0.785,0.007272727,0.336249513,0.732778118,-2.564947951,4.053305195,3.673882565,2.629069523,-0.03,-0.01,-0.07,-0.26,-0.31,-0.264610907
1,0.616225,0.335,-0.315,-0.270714286,0.47,0.095,-0.528571429,-2.066267007,11.85619063,3.63665879,0.197238723,0.102722146,-0.09,0.06,-0.03,-0.12,0.17,-11.9463932
1,9.00E-04,0.245,0.515,0.135238095,0.545,0.325,-0.682142857,0.387984921,9.228455472,2.602051441,0.393314175,-0.92832023,-0.09,0.06,-0.03,-0.12,0.17,-15.07872424
1,0.2601,0.1517,0.115,-0.006666667,0.625,-0.5225,-1.025,-2.025213935,6.841713396,5.490879578,-0.09789526,0.621763661,-0.09,0.06,-0.03,-0.12,0.17,-16.74437326
1,0.009025,0.175,0.37,0.231666667,0.465,-0.2,-0.79,-1.475300174,4.61084913,5.101447042,0.09789526,0.828162083,-0.09,0.06,-0.03,-0.12,0.17,-17.43112057
1,0.1521,0.175,0.715,0.366666667,0.325,-0.565,-0.69,-2.169874606,6.999162792,4.303506194,0.293398743,0.208768343,-0.09,0.06,-0.03,-0.12,0.17,-17.74225414
1,0.1024,0.1,0.1,0.039285714,0.42,-0.3,-0.718571429,-2.733480735,3.768940158,2.330104607,0.780491767,-0.621763661,0.01,-0.04,-0.03,-0.11,-0.18,-15.68668844
1,0.126025,-0.1283,-0.015,0.161666667,0.34,-0.52,-0.595,-2.026014284,1.35178689,0.895210906,1.461302185,-1.35207468,0.01,-0.04,-0.03,-0.11,-0.18,-11.28584704
1,0.429025,-0.212,-0.56,0.043571429,0.095,-0.805,-0.222142857,-1.92507489,-1.699600592,-0.859573484,2.232018909,-2.384768276,0.01,-0.04,-0.03,-0.11,-0.18,-5.729341416
1,0.81,-0.3433,-0.87,0.01047619,0.03,-0.975,-0.034285714,-1.099048003,-2.862394565,-0.755744733,1.559485796,-2.188727289,0.01,-0.04,-0.03,-0.11,-0.18,-0.392499671
1,0.018225,0.205,0.445,0.005635657,0.58,-0.417950938,-0.77867185,0.655429116,35.06551015,-17.89640176,1.072076975,-16.61268709,-1.28,-0.1,0,-2.13,-0.13,-26.6387812
1,0.030625,0.515,0.395,0.281684778,0.57,-0.159148629,-0.744311629,0.61087509,37.72048233,-17.80625347,2.498642778,-16.68988293,-1.28,-0.1,0,-2.13,-0.13,-25.77802949
1,0.4489,0.42275,-0.045,-0.010550402,0.625,0.224343434,-0.515702948,0.572220396,37.66543497,-15.1196215,2.981735505,-16.15500607,-1.28,-0.1,0,-2.13,-0.13,-24.30382125
1,0.680625,0.535,-0.45,0.105061401,0.375,0.497669553,-0.177883058,0.89914831,30.95305332,-5.895251659,5.342516667,-12.64332148,-1.28,-0.1,0,-2.13,-0.13,-22.67255771
1,1.288225,0.435,-0.63,-0.058186236,0.505,0.381291486,-0.305032394,2.889610311,30.69169377,1.179741992,5.810763081,-9.105996552,-1.28,-0.1,0,-2.13,-0.13,-18.68291179
1,0.6241,0.15,-0.485,0.306679035,0.305,0.504090909,-0.176020408,2.722639524,24.18976755,6.962679823,6.307861078,-6.662600648,-1.28,-0.1,0,-2.13,-0.13,-16.79457689
1,0.0081,0.085,0.06,0.465178019,0.15,0.259574315,-0.192027859,2.442790612,0.182495965,20.40378922,6.891225558,-1.910565908,-1.28,-0.1,0,-2.13,-0.13,-9.09412793
1,0.004225,-0.055,0.055,0.444491563,0.12,0.12002886,-0.220395206,2.147853428,-14.2820144,16.97737796,6.104370403,-2.751064988,-0.64,0.03,-0.01,-1.45,-0.12,-0.993964278
1,1.476225,-0.505,-0.465,-0.105584416,0.75,0.740454545,-0.364285714,-0.576002978,0.080928368,0.297695388,5.205636196,-0.823049914,0.17,0.06,0,-0.07,-0.01,-4.438512549
1,2.387025,-0.67,-0.77,-0.302857143,0.775,0.805,-0.289285714,-0.963465784,0.176880277,-0.001665986,4.647087438,-0.408998525,0.17,0.06,0,-0.07,-0.01,-3.478777765
1,1.452025,-0.769,-0.415,0.01,0.79,0.135,-0.73,-0.725702388,1.421682763,-1.844314572,4.34160297,-1.844314572,0.17,0.06,0,-0.07,-0.01,-3.098513033
1,2.0736,-0.79,-0.47,-0.11974026,0.97,0.055909091,-0.901428571,0.341802422,1.137443824,-1.628628333,4.940573821,-1.324522675,0.17,0.06,0,-0.07,-0.01,-3.435316826
1,1.9044,-0.843,-0.655,-0.095252525,0.725,0.141060606,-0.625,-0.286735999,2.073228414,-2.141265179,3.579329461,-1.12188836,-0.34,-0.03,0,-0.55,-0.08,-2.944497486
1,2.7556,-0.615,-1.15,-0.17952381,0.51,0.345,-0.284285714,-0.927821307,2.541695548,-3.671521257,2.953801244,-1.424235672,-0.34,-0.03,0,-0.55,-0.08,-2.273979754
1,0.3481,-0.57,-0.44,-0.048571429,0.15,-0.097142857,-0.178571429,-1.797623069,0.539932764,-3.352204797,1.898791224,-1.01113096,-0.34,-0.03,0,-0.55,-0.08,-1.119851601
1,1.334025,-0.5,0.945,0.499480519,-0.21,-0.256818182,-0.087142857,-1.012630862,2.824230299,-0.819164666,1.97614335,0.603623563,-0.34,-0.03,0,-0.55,-0.08,-0.164485575
1,2.0736,-0.29,1.14,0.515844156,-0.3,-0.159545455,0.042857143,-1.062104759,2.366048666,-1.210912879,2.370023347,0,-0.34,-0.03,0,-0.55,-0.08,1.393992877
1,1.0816,-0.28,0.65,0.380490109,-0.39,0.293636364,0.295846633,1.877935269,5.015282774,2.213370035,2.051353983,2.213370035,-0.34,-0.03,0,-0.55,-0.08,3.308954363
1,0.7921,-0.005,0.48,0.603165363,-0.41,-0.427272727,0.3816232,0.010604513,3.521005752,4.024986036,2.658643299,3.413986172,-0.34,-0.03,0,-0.55,-0.08,3.809100607
1,4.305625,0.376,0.915,-0.267270604,-1.16,0.847727273,0.715274426,0.128146936,-1.613862067,6.032452652,2.930982925,4.707929977,-0.34,-0.03,0,-0.55,-0.08,5.373852465
1,5.3361,0.505,1.525,0.192092195,-0.785,0.007272727,0.336249513,0.732778118,-2.564947951,4.053305195,3.673882565,2.629069523,-3.55,0.32,-0.08,-0.59,-0.06,3.933359127
1,1.0609,0.325,0.725,0.011030822,-0.305,0.384415584,0.306448034,0.722692616,-0.587555214,3.222276321,3.692727259,2.211145361,-3.55,0.32,-0.08,-0.59,-0.06,2.394543079
1,0.354025,0.375,0.415,-0.026099119,-0.18,0.50525974,0.281510315,1.264570314,-0.89289271,0.903065378,2.357874482,1.004024499,-3.55,0.32,-0.08,-0.59,-0.06,1.976257618
1,0.0625,0.34,0.085,-0.14361867,-0.165,0.585454545,0.472286882,-1.223147415,-3.960768964,-0.003621763,2.038806604,0.6000018,-3.55,0.32,-0.08,-0.59,-0.06,-4.888962265
1,0.189225,0.085,-0.64,-0.145862557,-0.205,0.418636364,0.7497645,0.013139821,-2.997205191,0,0.406504625,0,-3.55,0.32,-0.08,-0.59,-0.06,-4.252632871
1,0.01,0.238,-0.36,-0.389529,-0.46,0.84,0.6283768,0.048009294,-2.720093331,-3.413986172,-0.810541418,0,-3.55,0.32,-0.08,-0.59,-0.06,-4.74702507
1,0.4489,0.188,-0.84,-0.244233165,-0.17,0.245,0.566613468,0.52866353,-2.79045277,-5.431955916,-1.01215439,-0.59230183,-3.55,0.32,-0.08,-0.59,-0.06,-5.514615861
1,0.0121,0.177,-0.535,-0.175926431,-0.425,0.415,0.740258856,1.627047753,-1.921725339,-5.687573609,0.201816416,-1.082155174,-3.55,0.32,-0.08,-0.59,-0.06,-4.592176121
1,3.6864,-0.04,-1.655,0.596138575,0.265,-0.82,0.67591086,-0.801929529,-1.346990505,-6.124996116,-0.100050033,-0.887142339,-3.55,0.32,-0.08,-0.59,-0.06,-4.648242832
1,0.245025,0.189,-0.53,0.129400545,-0.035,0.18,0.582520436,-1.38328001,-1.08696823,-3.031420724,0.199800266,0.297177039,0.46,-0.18,0,-0.4,0.02,-4.075670349
1,0.133225,0.067,-0.49,0.058080965,-0.125,0.345,0.619464772,-0.196493724,-0.429460257,-2.429667662,0.400000533,0.199401861,0.46,-0.18,0,-0.4,0.02,-3.070708565
1,0.140625,0.22,-0.3,-0.213095238,0.075,0.15,-0.037142857,0.241208909,7.352628173,-0.247218915,1.782225391,-2.247285585,-0.03,0.06,0.06,1.47,0.01,1.676681234
1,0.0784,0.22,-0.155,-0.103333333,0.125,0.135,-0.235,-1.784107886,8.751549863,1.273949641,0.788958728,-1.432982555,-0.49,-0.06,-0.01,-1.04,0.02,-5.118376806
