Flags,X.d.Y_10...2,d..S.Y._10,d.Slo_.5.2.,d.Slo_.max.10.,d.Cur.DL.,d.Cur.VDM.,d.VolSkew,d.Leading,d.Lagging,Leading,Coincident,d.AC,d.DA,d.DE,d.IC,d.RVol
1,1.2321,0.358928571,1.345293754,0.405,-0.92020202,-1.312845805,-0.177927072,35.28085645,-25.94056327,18.0775364,-0.827917207,-0.2,0.13,1.25,1.44,-10.00527727
1,0.030625,0.515,0.281684778,0.57,-0.159148629,-0.744311629,0.61087509,30.95305332,-5.895251659,17.39063599,5.342516667,-0.02,0.09,2.03,0.52,-7.513228833
1,1.288225,0.435,-0.058186236,0.505,0.381291486,-0.305032394,2.889610311,9.346241446,16.95041224,10.9344167,6.590619858,-0.02,0.09,2.03,0.52,-11.31183291
1,0.1681,-0.17,0.43464617,0.015,0.950887446,0.279071914,2.536816069,-14.2820144,16.97737796,3.795522,6.104370403,-0.02,0.09,2.03,0.52,-9.087168438
1,0.1444,-0.37,0.394509232,0.31,0.55031746,-0.19026563,-0.891629435,-15.7146191,13.76865305,1.676016886,5.291048314,0.12,-0.06,-1.5,-0.2,-4.752495783
1,0.093025,-0.085,0.129132432,0.67,-1.092503608,-1.229695497,-0.960741329,-15.30644627,4.645748326,-1.227009259,6.015176066,0.12,-0.06,-1.5,-0.2,-0.376887829
1,0.648025,0.055,-0.532857143,0.605,0.08,-0.379285714,0.034753262,-4.269303641,2.540013739,-2.134651821,4.214562145,0.12,-0.06,-1.5,-0.2,-5.569940429
1,2.387025,-0.67,-0.302857143,0.775,0.805,-0.289285714,-0.963465784,2.073228414,-2.141265179,0.18993358,3.579329461,0.12,0.02,0.31,-0.24,0.281077503
1,3.1684,0.395,0.143571429,0.115,0.11,-0.072142857,-1.162416667,-2.679466176,-3.732546442,-4.717382409,0.792868376,0.28,0,0,0.12,10.53001216
1,0.1521,0.54,-0.02,0.065,-1.075,-0.205,-0.184218813,1.370255131,-2.502664422,-1.323174521,2.680061151,0.18,0,-0.08,0.21,4.055215922
1,0.3844,0.257,0.005,0.14,-0.56,-0.23,-0.764956337,11.85619063,3.63665879,7.138808221,0.197238723,0.18,0,-0.08,0.21,-12.97294519
1,0.616225,0.335,-0.270714286,0.47,0.095,-0.528571429,-2.066267007,6.841713396,5.490879578,3.420856698,-0.09789526,0.1,0,-0.06,0.04,-12.44734406
1,0.5041,0.35,1.819791501,0.3,-0.083405483,-0.981528993,-1.93386134,22.40900013,-35.76999426,7.884806635,-7.004028729,-0.19,0.04,-2.2,-0.24,-1.853804195
1,0.009025,0.096,0.648178284,0.47,0.018578644,-0.690025915,-1.408757592,37.72048233,-17.80625347,20.43254795,2.498642778,0.13,-0.03,-2.43,-0.17,-23.78790116
1,0.018225,0.205,0.005635657,0.58,-0.417950938,-0.77867185,0.655429116,34.18767418,-12.26459916,19.61458009,4.048171792,0.13,-0.03,-2.43,-0.17,-24.81490823
1,0.8281,0.105,0.333752098,0.41,0.634617605,-0.22915128,2.034770128,-4.6798782,16.84098332,7.755823435,6.386383316,0.13,-0.03,-2.43,-0.17,-13.35700264
1,0.1681,-0.17,0.43464617,0.015,0.950887446,0.279071914,2.536816069,-14.2820144,16.97737796,3.795522,6.104370403,0.13,-0.03,-2.43,-0.17,-10.8706529
1,0.0324,-0.01,0.468689814,0.05,0.005266955,-0.212941367,0.756958884,-18.29789613,15.3693965,2.134651821,6.262717747,0.86,0,-0.47,-0.06,-1.886791098
1,0.164025,-0.205,0.391175015,0.255,0.524191919,-0.14638322,-0.563243486,-20.45296413,15.54424613,-0.838384044,6.000668091,0.86,0,-0.47,-0.06,-6.290432927
1,0.1444,-0.12,-0.427402597,0.8,-0.775909091,-1.014285714,0.314123075,-8.636024513,2.214671566,-0.568721912,4.631478218,0.86,0,-0.47,-0.06,-1.795732694
1,0.5329,-0.1,-0.514285714,0.665,-0.07,-0.516428571,0.396399626,-2.446115969,1.831368981,-2.5389234,4.292504472,-0.06,-0.02,-0.57,-0.04,-1.670951528
1,3.258025,0.478,-0.000966202,-1.03,0.357575758,0.662479564,-0.036677158,-0.89289271,0.903065378,-2.310016095,2.357874482,-0.36,-0.1,-1.94,0.01,3.37759517
1,0.0441,0.5,-0.119047619,0.065,-0.175,0.071428571,0.315745106,6.381858692,-1.557423363,1.415594923,2.479056058,1.29,0.12,1.2,-0.18,13.67109997
1,0.1444,0.455,-0.15547619,-0.095,-0.22,0.299285714,-0.295482541,7.352628173,-0.247218915,2.797385204,1.782225391,1.29,0.12,1.2,-0.18,12.22894451
1,0.7225,0.295,-0.127857143,0.07,-2.05,0.085714286,-1.44345252,8.751549863,1.273949641,5.154758555,0.788958728,1.29,0.12,1.2,-0.18,2.859542659
1,0.2601,0.1517,-0.006666667,0.625,-0.5225,-1.025,-2.025213935,4.351888006,4.184666057,4.656611452,1.071612788,-0.05,0,-0.15,0.33,-12.55621922
1,0.1024,0.1,0.039285714,0.42,-0.3,-0.718571429,-2.733480735,-2.862394565,-0.755744733,2.29236399,1.559485796,-0.05,0,-0.15,0.33,-8.931793544
1,2.9584,0.685,1.801295167,0.285,-1.320512266,-1.542168772,-0.946231018,27.94856914,-29.59808753,12.43570163,-4.225980929,-0.05,0,-0.69,-0.25,-7.494622802
1,1.2321,0.358928571,1.345293754,0.405,-0.92020202,-1.312845805,-0.177927072,35.28085645,-25.94056327,18.0775364,-0.827917207,-0.05,0,-0.69,-0.25,-13.59578696
1,0.009025,0.096,0.648178284,0.47,0.018578644,-0.690025915,-1.408757592,37.72048233,-17.80625347,20.43254795,2.498642778,-0.05,0,-0.69,-0.25,-22.60677952
1,0.030625,0.515,0.281684778,0.57,-0.159148629,-0.744311629,0.61087509,30.95305332,-5.895251659,17.39063599,5.342516667,-0.05,0,-0.69,-0.25,-26.31586775
1,0.6241,0.15,0.306679035,0.305,0.504090909,-0.176020408,2.722639524,0.182495965,20.40378922,8.067302601,6.891225558,-0.25,-0.04,-1.57,0.39,-19.3298873
1,0.0081,0.085,0.465178019,0.15,0.259574315,-0.192027859,2.442790612,-13.93617907,14.07060816,4.028647831,6.424226873,-0.25,-0.04,-1.57,0.39,-4.775932326
1,0.000025,-0.267,-0.073506494,0.675,-0.917272727,-1.080714286,-0.230285012,-12.07079257,3.197075488,-1.136375865,5.106547801,5.34,0.19,-0.47,0.25,1.116715434
1,0.6561,-0.035,-0.507272727,0.57,0.044545455,-0.37,0.909151773,-5.695353079,4.883152766,-1.666705249,4.242071588,5.34,0.19,-0.47,0.25,-2.07264582
1,0.286225,0.005,-0.266103896,0.715,-0.181363636,-0.706428571,2.027127566,-1.336642596,0.702005928,-2.17502664,5.244647537,5.34,0.19,-0.47,0.25,-0.71430341
1,1.1881,-0.535,-0.411428571,0.815,0.505,-0.432142857,0.17935678,0.080928368,0.297695388,-1.147240116,5.205636196,5.34,0.19,-0.47,0.25,-0.649722319
1,2.0736,-0.79,-0.11974026,0.97,0.055909091,-0.901428571,0.341802422,0.539932764,-3.352204797,-1.126772485,1.898791224,-4.55,0,-0.04,-0.27,-3.576839151
1,2.0736,-0.29,0.515844156,-0.3,-0.159545455,0.042857143,-1.062104759,1.913527391,5.662704,0.766287275,2.756682983,-4.55,0,-0.04,-0.27,-0.578951938
1,1.5376,0.265,0.195714286,-0.335,0.635,0.383571429,-0.243002868,-4.388108544,-1.902595118,-5.347808808,0.199401861,-1.72,-0.04,-0.55,-0.13,4.081114904
1,0.2916,0.531,0.089285714,0.115,-1.185,-0.243571429,-3.538582331,-0.920595067,-4.772537119,-2.008099606,2.680061151,-1.72,-0.04,-0.55,-0.13,18.28822018
1,0.0441,0.5,-0.119047619,0.065,-0.175,0.071428571,0.315745106,6.381858692,-1.557423363,1.415594923,2.479056058,0.19,0.01,0.04,-0.13,14.84282372
1,0.140625,0.22,-0.213095238,0.075,0.15,-0.037142857,0.241208909,9.972630019,2.212980063,5.960055619,0.790517951,0.19,0.01,0.04,-0.13,-1.725811493
1,0.3844,0.257,0.005,0.14,-0.56,-0.23,-0.764956337,11.85619063,3.63665879,7.138808221,0.197238723,0.19,0.01,0.04,-0.13,-5.933919455
1,0.075625,0.315,-0.138095238,0.205,-0.065,-0.352142857,-2.582479947,9.228455472,2.602051441,4.320109241,0.393314175,0.19,0.01,0.04,-0.13,-12.39043526
1,0.616225,0.335,-0.270714286,0.47,0.095,-0.528571429,-2.066267007,6.841713396,5.490879578,3.420856698,-0.09789526,0.19,0.01,0.04,-0.13,-12.85518805
1,0.0016,0.26,-0.194761905,0.3,1.07,-0.377142857,0.387984921,4.61084913,5.101447042,2.602749524,0.09789526,0.19,0.01,0.04,-0.13,-14.86437551
1,0.2601,0.1517,-0.006666667,0.625,-0.5225,-1.025,-2.025213935,4.351888006,4.184666057,4.656611452,1.071612788,0.19,0.01,0.04,-0.13,-16.03923078
1,0.1024,0.1,0.039285714,0.42,-0.3,-0.718571429,-2.733480735,-2.862394565,-0.755744733,2.29236399,1.559485796,0.11,0,-0.31,0.08,-10.66875262
1,0.429025,-0.212,0.043571429,0.095,-0.805,-0.222142857,-1.92507489,-4.401497154,-2.913943191,2.737311067,1.175331845,0.11,0,-0.31,0.08,-3.356609319
1,0.2601,-0.24,0.022380952,-0.105,-0.01,0.183571429,-1.029525644,-0.557002419,-1.271873289,3.763106822,0.098087306,0.11,0,-0.31,0.08,0.8429277
1,0.042025,-0.015,-0.21025974,0.76,-0.770909091,-1.048571429,-0.910658295,-9.639118268,4.245463041,-1.883294833,4.830796533,0.15,-0.04,-0.43,-4.93,0.688106242
1,0.0784,0.22,-0.103333333,0.125,0.135,-0.235,-1.784107886,9.595740135,4.360055317,5.579135963,0.589972213,0.07,-0.49,-4.12,2.55,-19.39235727
1,0.0009,0.245,0.135238095,0.545,0.325,-0.682142857,0.387984921,6.999162792,4.303506194,5.675988271,0.293398743,0.07,-0.49,-4.12,2.55,-15.00670652
1,0.009025,0.175,0.231666667,0.465,-0.2,-0.79,-1.475300174,3.768940158,2.330104607,5.184535081,0.780491767,-0.1,-0.11,-0.21,0.99,-21.6708502
1,0.018225,0.205,0.005635657,0.58,-0.417950938,-0.77867185,0.655429116,34.18767418,-12.26459916,19.61458009,4.048171792,-1.33,-0.13,-4.27,-0.13,-34.25390785
1,0.4489,0.42275,-0.010550402,0.625,0.224343434,-0.515702948,0.572220396,30.69169377,1.179741992,17.40848947,5.810763081,-0.29,0.01,-0.1,0.08,-31.85344155
1,0.6084,0.345,-0.187536001,0.47,0.223578644,-0.298597344,1.321617697,24.18976755,6.962679823,15.94856995,6.307861078,-0.29,0.01,-0.1,0.08,-31.80079031
1,0.680625,0.535,0.105061401,0.375,0.497669553,-0.177883058,0.89914831,18.41186309,12.2081934,14.07943701,6.400288199,-0.29,0.01,-0.1,0.08,-28.60671018
1,0.8281,0.105,0.333752098,0.41,0.634617605,-0.22915128,2.034770128,-4.6798782,16.84098332,7.755823435,6.386383316,-0.29,0.01,-0.1,0.08,-20.94785188
1,0.0081,0.085,0.465178019,0.15,0.259574315,-0.192027859,2.442790612,-13.93617907,14.07060816,4.028647831,6.424226873,-0.29,0.01,-0.1,0.08,-14.2032746
1,0.1444,-0.37,0.394509232,0.31,0.55031746,-0.19026563,-0.891629435,-15.7146191,13.76865305,1.676016886,5.291048314,0.12,0.06,-0.84,-0.05,-10.10154517
1,0.7921,0.32,-0.532987013,0.845,-0.460454545,-0.873571429,-0.775085734,-5.675276597,4.998350573,-1.879754597,4.265271995,0.12,0.06,-0.84,-0.05,-1.05870583
1,0.6561,-0.035,-0.507272727,0.57,0.044545455,-0.37,0.909151773,-5.695353079,4.883152766,-1.666705249,4.242071588,0.12,0.06,-0.84,-0.05,-0.889980559
1,0.5329,-0.1,-0.514285714,0.665,-0.07,-0.516428571,0.396399626,-2.446115969,1.831368981,-2.5389234,4.292504472,0.12,0.06,-0.84,-0.05,-1.029272914
1,0.286225,0.005,-0.266103896,0.715,-0.181363636,-0.706428571,2.027127566,-1.336642596,0.702005928,-2.17502664,5.244647537,0.12,0.06,-0.84,-0.05,2.068040012
1,1.2996,-0.683,-0.198961039,0.905,0.688636364,-0.510714286,-0.55164517,1.421682763,-1.844314572,0.285306898,4.34160297,0.18,0.01,-0.05,-0.13,-1.418375646
1,1.334025,-0.5,0.499480519,-0.21,-0.256818182,-0.087142857,-1.012630862,3.521005752,4.024986036,0.385356932,2.658643299,0.23,0.01,-0.06,0.05,-3.329531088
1,2.0736,-0.29,0.515844156,-0.3,-0.159545455,0.042857143,-1.062104759,1.913527391,5.662704,0.766287275,2.756682983,0.23,0.01,-0.06,0.05,-0.54168874
1,5.040025,0.259,-0.543476238,-1.055,1.216818182,0.436946283,0.284446686,-2.564947951,4.053305195,-1.903007,3.673882565,0.23,0.01,-0.06,0.05,5.285000405
1,4.305625,0.376,-0.267270604,-1.16,0.847727273,0.715274426,0.128146936,-0.587555214,3.222276321,-1.714327699,3.692727259,0.23,0.01,-0.06,0.05,5.330974723
1,1.0609,0.325,0.011030822,-0.305,0.384415584,0.306448034,0.722692616,-2.997205191,0,-2.806183166,0.406504625,0.23,0.01,-0.06,0.05,1.599597545
1,0.0121,0.177,-0.175926431,-0.425,0.415,0.740258856,1.627047753,-1.08696823,-3.031420724,-2.232018909,0.199800266,-0.42,0.01,-0.22,0.01,-4.358245061
1,1.8225,0.406,0.147857143,0.095,-0.36,-0.140714286,2.973457295,-2.939745994,-3.634677949,-4.016604173,0.49431638,0.22,-0.06,-1.29,-0.02,9.345262024
1,0.0784,0.3017,-0.047619048,0.275,0.365,-0.556428571,-2.952225324,-1.699600592,-0.859573484,2.873760977,2.232018909,0.35,0,-1.1,0.02,-17.05421075
1,0.1024,0.1,0.039285714,0.42,-0.3,-0.718571429,-2.733480735,-2.862394565,-0.755744733,2.29236399,1.559485796,0.35,0,-1.1,0.02,-11.51578429
1,0.81,-0.3433,0.01047619,0.03,-0.975,-0.034285714,-1.099048003,-2.713610387,-5.274154577,2.865525576,0.975617495,0.35,0,-1.1,0.02,-6.861901545
1,0.3844,0.2,-0.053812768,-0.28,0.51,0.280949786,1.90196409,-2.354643483,-0.402731255,-4.378808978,1.01215439,-0.02,0.03,0.05,3.4,0.564333762
1,1.030225,0.313,0.132857143,0.105,-0.405,-0.130714286,1.847677519,-5.693433678,-4.12679491,-4.908346231,1.588911283,-0.02,0.03,0.05,3.4,5.456174688
1,0.1521,0.54,-0.02,0.065,-1.075,-0.205,-0.184218813,1.370255131,-2.502664422,-1.323174521,2.680061151,0,0.1,0.22,-2.35,5.00247415
1,0.0004,0.37,0.349606856,0.5,-0.296421356,-0.762883058,-2.254731524,37.66543497,-15.1196215,21.20733276,2.981735505,0.02,0.03,-0.22,-0.16,-21.77399912
1,0.0081,0.085,0.465178019,0.15,0.259574315,-0.192027859,2.442790612,-13.93617907,14.07060816,4.028647831,6.424226873,0.14,-0.04,-0.33,2.13,-11.37731817
1,0.0324,-0.01,0.468689814,0.05,0.005266955,-0.212941367,0.756958884,-18.29789613,15.3693965,2.134651821,6.262717747,0.14,-0.04,-0.33,2.13,-7.30068246
1,0.164025,-0.205,0.391175015,0.255,0.524191919,-0.14638322,-0.563243486,-20.45296413,15.54424613,-0.838384044,6.000668091,0.14,-0.04,-0.33,2.13,-8.256430422
1,0.093025,-0.085,0.129132432,0.67,-1.092503608,-1.229695497,-0.960741329,-15.30644627,4.645748326,-1.227009259,6.015176066,-0.2,-0.01,-0.06,2.26,-2.747823389
1,0.7921,0.32,-0.532987013,0.845,-0.460454545,-0.873571429,-0.775085734,-5.675276597,4.998350573,-1.879754597,4.265271995,-0.2,-0.01,-0.06,2.26,-1.865217342
1,0.6561,-0.035,-0.507272727,0.57,0.044545455,-0.37,0.909151773,-5.695353079,4.883152766,-1.666705249,4.242071588,-0.2,-0.01,-0.06,2.26,-2.15977847
1,0.648025,0.055,-0.532857143,0.605,0.08,-0.379285714,0.034753262,-4.269303641,2.540013739,-2.134651821,4.214562145,-0.2,-0.01,-0.06,2.26,-2.629646158
1,1.3689,-0.17,-0.474285714,0.775,-0.04,-0.626428571,0.479431637,-6.209371016,-1.125331569,-4.53335413,5.648811126,-0.2,-0.01,-0.06,2.26,2.123610675
1,2.9584,-0.54,-0.545714286,1,0.55,-0.548571429,-0.489288486,0.176880277,-0.001665986,-1.050128982,4.647087438,-0.07,-0.02,-0.1,0.43,-1.60016973
1,1.452025,-0.769,0.01,0.79,0.135,-0.73,-0.725702388,2.541695548,-3.671521257,0.661940951,2.953801244,-0.07,-0.02,-0.1,0.43,-1.495174291
1,0.2916,0.531,0.089285714,0.115,-1.185,-0.243571429,-3.538582331,-0.920595067,-4.772537119,-2.008099606,2.680061151,0.12,0.04,0.08,-1.5,22.45398385
1,0.1444,0.455,-0.15547619,-0.095,-0.22,0.299285714,-0.295482541,7.352628173,-0.247218915,2.797385204,1.782225391,-0.15,-0.06,-0.18,-0.67,19.68138352
1,0.2209,0.36,-0.041666667,0.01,-0.365,0.18,0.624703981,9.921170377,0.966214589,4.573361569,1.482973297,-0.15,-0.06,-0.18,-0.67,19.63448738
1,0.3844,0.257,0.005,0.14,-0.56,-0.23,-0.764956337,11.85619063,3.63665879,7.138808221,0.197238723,-0.15,-0.06,-0.18,-0.67,-4.383768074
1,0.009025,0.175,0.231666667,0.465,-0.2,-0.79,-1.475300174,3.768940158,2.330104607,5.184535081,0.780491767,0.14,0.1,0.15,-0.79,-20.44599513
1,0.1521,0.175,0.366666667,0.325,-0.565,-0.69,-2.169874606,1.35178689,0.895210906,4.149172094,1.461302185,0.14,0.1,0.15,-0.79,-20.02409284
1,0.0784,0.3017,-0.047619048,0.275,0.365,-0.556428571,-2.952225324,-1.699600592,-0.859573484,2.873760977,2.232018909,0.14,0.1,0.15,-0.79,-19.84053856
1,0.1024,0.1,0.039285714,0.42,-0.3,-0.718571429,-2.733480735,-2.862394565,-0.755744733,2.29236399,1.559485796,0.14,0.1,0.15,-0.79,-15.92016244
1,0.126025,-0.1283,0.161666667,0.34,-0.52,-0.595,-2.026014284,-3.577856261,-2.62196823,2.382199357,1.174181788,0.14,0.1,0.15,-0.79,-9.451117864
1,0.81,-0.3433,0.01047619,0.03,-0.975,-0.034285714,-1.099048003,-2.713610387,-5.274154577,2.865525576,0.975617495,0.14,0.1,0.15,-0.79,-1.047872003
1,0.2601,-0.24,0.022380952,-0.105,-0.01,0.183571429,-1.029525644,-0.557002419,-1.271873289,3.763106822,0.098087306,0.14,0.1,0.15,-0.79,-0.177268128
1,0.1444,0.455,-0.15547619,-0.095,-0.22,0.299285714,-0.295482541,7.352628173,-0.247218915,2.797385204,1.782225391,0.03,0.03,0.53,9.33,7.817236658
1,0.2209,0.36,-0.041666667,0.01,-0.365,0.18,0.624703981,9.921170377,0.966214589,4.573361569,1.482973297,0.03,0.03,0.53,9.33,6.508080535
